Processed Tokens,Wiki,AlQuds,Corpus A Terms or types,Corpus B Terms or types
100,79,71,79,71
200,153,142,153,142
300,229,209,229,209
400,285,269,285,269
500,349,334,349,334
600,402,387,402,387
700,461,455,461,455
800,519,522,519,522
900,575,571,575,571
1000,619,615,619,615
2000,1035,1047,1035,1047
3000,1268,1423,1268,1423
4000,1449,1803,1449,1803
5000,1578,2153,1578,2153
6000,1819,2527,1819,2527
7000,2253,2913,2253,2913
8000,2635,3287,2635,3287
9000,3040,3661,3040,3661
10000,3409,4019,3409,4019
11000,3780,4319,3780,4319
12000,4067,4614,4067,4614
13000,4454,4837,4454,4837
14000,4786,5125,4786,5125
15000,5007,5406,5007,5406
16000,5303,5670,5303,5670
17000,5650,5993,5650,5993
18000,6025,6320,6025,6320
19000,6384,6589,6384,6589
20000,6591,6877,6591,6877
21000,6814,7180,6814,7180
22000,6988,7453,6988,7453
23000,7322,7743,7322,7743
24000,7688,8000,7688,8000
25000,7969,8250,7969,8250
26000,8205,8507,8205,8507
27000,8489,8717,8489,8717
28000,8740,8892,8740,8892
29000,9046,9038,9046,9038
30000,9263,9207,9263,9207
31000,9482,9381,9482,9381
32000,9726,9619,9726,9619
33000,9990,9848,9990,9848
34000,10231,10050,10231,10050
35000,10473,10229,10473,10229
36000,10686,10452,10686,10452
37000,10908,10659,10908,10659
38000,11123,10873,11123,10873
39000,11351,10978,11351,10978
40000,11546,11129,11546,11129
41000,11776,11307,11776,11307
42000,12023,11482,12023,11482
43000,12296,11639,12296,11639
44000,12486,11814,12486,11814
45000,12732,12035,12732,12035
46000,12962,12222,12962,12222
47000,13312,12410,13312,12410
48000,13682,12602,13682,12602
49000,13993,12713,13993,12713
50000,14240,12944,14240,12944
51000,14476,13136,14476,13136
52000,14698,13364,14698,13364
53000,14910,13527,14910,13527
54000,15111,13700,15111,13700
55000,15356,13856,15356,13856
56000,15532,14005,15532,14005
57000,15716,14188,15716,14188
58000,15855,14449,15855,14449
59000,16050,14687,16050,14687
60000,16259,14923,16259,14923
61000,16463,15159,16463,15159
62000,16677,15399,16677,15399
63000,16859,15556,16859,15556
64000,17086,15681,17086,15681
65000,17299,15888,17299,15888
66000,17497,16084,17497,16084
67000,17655,16370,17655,16370
68000,17775,16657,17775,16657
69000,17887,16777,17887,16777
70000,18009,16850,18009,16850
71000,18174,16984,18174,16984
72000,18419,17159,18419,17159
73000,18739,17301,18739,17301
74000,19034,17457,19034,17457
75000,19362,17546,19362,17546
76000,19613,17617,19613,17617
77000,19852,17777,19852,17777
78000,20065,17978,20065,17978
79000,20233,18167,20233,18167
80000,20387,18402,20387,18402
81000,20517,18588,20517,18588
82000,20650,18776,20650,18776
83000,20867,18898,20867,18898
84000,21150,19027,21150,19027
85000,21388,19215,21388,19215
86000,21633,19347,21633,19347
87000,21837,19459,21837,19459
88000,22037,19625,22037,19625
89000,22298,19776,22298,19776
90000,22619,19925,22619,19925
91000,22874,20029,22874,20029
92000,23112,20135,23112,20135
93000,23314,20329,23314,20329
94000,23529,20472,23529,20472
95000,23751,20591,23751,20591
